year	DegE	DegN	Cs137
1988.25	32.75	44.33333333	56
1988.25	31.75	44.5	55.9
1988.25	30.75	44.83333333	44.5
1988.25	32.25	44.16666667	44.4
1988.25	33.75	44.16666667	59.6
1988.25	33.75	43.83333333	67.4
1988.25	32.75	43.83333333	60.4
1988.25	31.75	43.83333333	48.1
1988.25	32.25	43.5	49.6
1988.25	34.25	43.5	40.7
1988.25	34.75	44.5	55.8
1988.25	34.75	43.83333333	40.1
1988.25	33.75	43.25	59.2
1988.25	32.75	43.33333333	44.8
1988.25	31.75	43.16666667	48.8
1988.25	30.75	43.16666667	40.5
1988.25	31.25	43.5	48.3
1988.25	30.75	43.5	51.8
1988.25	33.25	43.33333333	41.4
1988.25	33.25	43.33333333	36.8
