year	DegE	DegN	Cs137
1988.85	28.43333333	42.61666667	74.1
1988.85	29.13333333	42.58333333	37.3
1988.85	31	43	43.9
1988.85	30.48333333	46.05	25.9
1988.85	30.75	46.05	36.9
1988.85	29.91666667	45.2	77.5
1988.85	29.91666667	45.33333333	41
1988.85	29.91666667	45.41666667	55.2
1988.85	30.4	45.86666667	101.2
1988.85	31.16666667	46.48333333	66.9
1988.85	31.4	46.55	33
1988.85	31.43333333	46.48333333	34.8
1988.85	31.33333333	45.83333333	99.5
1988.85	31.21666667	45.28333333	73.8
1988.85	31.18333333	44.66666667	59
1988.85	34.43333333	44.61666667	55.9
1988.85	34.41666667	44.65	63.2
1988.85	34.5	44.6	74
1988.85	34.43333333	44.65	59.3
1988.85	33.3	44.58333333	103.7
