 # Concentration in FILTERED water [Bq/m3]
#  Cs-137
      time(yr)         box1            box2            box3            box4            box5            box6            box7            box8            box9            box10           box11           box12           box13           box14           box15           box16           box17           box18           box19           box20           box21           box22           box23           box24           box25           box26           box27           box28           box29           box30           box31           box32           box33           box34           box35           box36           box37           box38           box39           box40           box41           box42           box43           box44           box45           box46           box47           box48           box49           box50           box51           box52           box53           
    0.1944000E+04  -0.9990000E+03  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03  -0.9990000E+03   0.0000000E+00   0.0000000E+00  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1945000E+04  -0.9990000E+03  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03  -0.9990000E+03   0.0000000E+00   0.0000000E+00  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1946000E+04  -0.9990000E+03  -0.9990000E+03   0.3087091E-02   0.4175948E-02   0.4136851E-02   0.4216186E-02   0.4210801E-02   0.4171852E-02   0.4143074E-02   0.4128135E-02   0.4096797E-02   0.4042585E-02   0.3972670E-02   0.3930033E-02   0.3924764E-02   0.3873943E-02   0.3889255E-02   0.3865135E-02   0.3850850E-02   0.3857625E-02   0.3848274E-02   0.3844920E-02   0.3844361E-02   0.3844154E-02   0.3861170E-02   0.3892953E-02   0.3953395E-02   0.4067128E-02   0.4182141E-02   0.4229815E-02   0.4268540E-02   0.4291554E-02   0.4194142E-02  -0.9990000E+03   0.5493349E-02   0.4425985E-02   0.4488087E-02   0.4502771E-02   0.4233197E-02   0.3906427E-02   0.3865499E-02   0.3850848E-02   0.3840779E-02  -0.9990000E+03  -0.9990000E+03   0.7902919E-02   0.7547153E-02  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1947000E+04  -0.9990000E+03  -0.9990000E+03   0.7432511E-02   0.1221701E-01   0.1217319E-01   0.1227978E-01   0.1226549E-01   0.1221055E-01   0.1216829E-01   0.1214708E-01   0.1209637E-01   0.1199693E-01   0.1186082E-01   0.1177659E-01   0.1176108E-01   0.1165144E-01   0.1169109E-01   0.1163455E-01   0.1160106E-01   0.1161693E-01   0.1159459E-01   0.1158569E-01   0.1158249E-01   0.1157839E-01   0.1160885E-01   0.1166970E-01   0.1178739E-01   0.1197900E-01   0.1215121E-01   0.1223428E-01   0.1230661E-01   0.1235694E-01   0.1213789E-01  -0.9990000E+03   0.1378999E-01   0.1241699E-01   0.1259288E-01   0.1258620E-01   0.1217123E-01   0.1167024E-01   0.1160066E-01   0.1157780E-01   0.1156733E-01  -0.9990000E+03  -0.9990000E+03   0.1692666E-01   0.1636600E-01  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1948000E+04  -0.9990000E+03  -0.9990000E+03   0.8954179E-02   0.1783411E-01   0.1781884E-01   0.1789661E-01   0.1787863E-01   0.1784301E-01   0.1781365E-01   0.1779894E-01   0.1776478E-01   0.1769064E-01   0.1758472E-01   0.1751846E-01   0.1750374E-01   0.1741277E-01   0.1744871E-01   0.1739973E-01   0.1737071E-01   0.1738445E-01   0.1736492E-01   0.1735675E-01   0.1735319E-01   0.1734815E-01   0.1737099E-01   0.1741855E-01   0.1751108E-01   0.1764853E-01   0.1776205E-01   0.1782418E-01   0.1788188E-01   0.1792506E-01   0.1764334E-01  -0.9990000E+03   0.1855263E-01   0.1778707E-01   0.1804602E-01   0.1802263E-01   0.1774286E-01   0.1740766E-01   0.1735727E-01   0.1734171E-01   0.1733737E-01  -0.9990000E+03  -0.9990000E+03   0.2031978E-01   0.1993532E-01  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1949000E+04  -0.9990000E+03  -0.9990000E+03   0.1181346E-01   0.2449861E-01   0.2445394E-01   0.2461231E-01   0.2458825E-01   0.2452242E-01   0.2447044E-01   0.2444301E-01   0.2439205E-01   0.2429591E-01   0.2416601E-01   0.2408574E-01   0.2407241E-01   0.2397015E-01   0.2400546E-01   0.2395384E-01   0.2392325E-01   0.2393772E-01   0.2391742E-01   0.2390954E-01   0.2390710E-01   0.2390435E-01   0.2393530E-01   0.2399537E-01   0.2410966E-01   0.2430793E-01   0.2449868E-01   0.2458620E-01   0.2466285E-01   0.2471202E-01   0.2429677E-01  -0.9990000E+03   0.2624535E-01   0.2463821E-01   0.2500131E-01   0.2500294E-01   0.2455048E-01   0.2400652E-01   0.2393434E-01   0.2390948E-01   0.2389525E-01  -0.9990000E+03  -0.9990000E+03   0.2988724E-01   0.2928054E-01  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1950000E+04  -0.9990000E+03  -0.9990000E+03   0.1380048E-01   0.3134288E-01   0.3132242E-01   0.3146233E-01   0.3143153E-01   0.3137713E-01   0.3133155E-01   0.3130767E-01   0.3126293E-01   0.3116873E-01   0.3103528E-01   0.3095184E-01   0.3093440E-01   0.3082145E-01   0.3086479E-01   0.3080479E-01   0.3076924E-01   0.3078603E-01   0.3076220E-01   0.3075240E-01   0.3074842E-01   0.3074303E-01   0.3077313E-01   0.3083450E-01   0.3095231E-01   0.3113583E-01   0.3129695E-01   0.3138140E-01   0.3145979E-01   0.3151496E-01   0.3101854E-01  -0.9990000E+03   0.3239791E-01   0.3124857E-01   0.3170982E-01   0.3168458E-01   0.3129413E-01   0.3082795E-01   0.3076044E-01   0.3073867E-01   0.3073048E-01  -0.9990000E+03  -0.9990000E+03   0.3503874E-01   0.3449983E-01  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1951000E+04  -0.9990000E+03  -0.9990000E+03   0.1320812E-01   0.3418738E-01   0.3418767E-01   0.3431152E-01   0.3427889E-01   0.3424076E-01   0.3420685E-01   0.3418846E-01   0.3416327E-01   0.3410729E-01   0.3402605E-01   0.3397490E-01   0.3396338E-01   0.3389239E-01   0.3392062E-01   0.3388223E-01   0.3385950E-01   0.3387021E-01   0.3385492E-01   0.3384851E-01   0.3384573E-01   0.3384187E-01   0.3386040E-01   0.3389869E-01   0.3397208E-01   0.3408536E-01   0.3418608E-01   0.3424198E-01   0.3429723E-01   0.3433622E-01   0.3380979E-01  -0.9990000E+03   0.3461927E-01   0.3394431E-01   0.3444989E-01   0.3442372E-01   0.3417958E-01   0.3389303E-01   0.3385117E-01   0.3383797E-01   0.3383357E-01  -0.9990000E+03  -0.9990000E+03   0.3614548E-01   0.3578623E-01  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1952000E+04  -0.9990000E+03  -0.9990000E+03   0.3161872E-01   0.6154314E-01   0.6129658E-01   0.6193240E-01   0.6186051E-01   0.6157113E-01   0.6135279E-01   0.6123973E-01   0.6101549E-01   0.6061611E-01   0.6009370E-01   0.5977399E-01   0.5972958E-01   0.5933969E-01   0.5946357E-01   0.5927412E-01   0.5916210E-01   0.5921514E-01   0.5914142E-01   0.5911406E-01   0.5910778E-01   0.5910262E-01   0.5922681E-01   0.5946306E-01   0.5991619E-01   0.6074653E-01   0.6157316E-01   0.6193232E-01   0.6223689E-01   0.6242888E-01   0.6127648E-01  -0.9990000E+03   0.7033227E-01   0.6287330E-01   0.6377899E-01   0.6383594E-01   0.6188738E-01   0.5954123E-01   0.5924276E-01   0.5913901E-01   0.5907300E-01  -0.9990000E+03  -0.9990000E+03   0.8705100E-01   0.8435243E-01  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1953000E+04  -0.9990000E+03  -0.9990000E+03   0.6411716E-01   0.1209148E+00   0.1205634E+00   0.1215289E+00   0.1213846E+00   0.1209118E+00   0.1205482E+00   0.1203658E+00   0.1199500E+00   0.1191394E+00   0.1180346E+00   0.1173521E+00   0.1172279E+00   0.1163436E+00   0.1166618E+00   0.1162069E+00   0.1159380E+00   0.1160654E+00   0.1158860E+00   0.1158146E+00   0.1157889E+00   0.1157561E+00   0.1160006E+00   0.1164904E+00   0.1174450E+00   0.1190163E+00   0.1204436E+00   0.1211340E+00   0.1217426E+00   0.1221702E+00   0.1200616E+00  -0.9990000E+03   0.1339260E+00   0.1224006E+00   0.1241436E+00   0.1240724E+00   0.1206339E+00   0.1165013E+00   0.1159342E+00   0.1157508E+00   0.1156672E+00  -0.9990000E+03  -0.9990000E+03   0.1600412E+00   0.1551889E+00  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
