 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
          45           1    NumPlan   NumVert
           1  1.8276165E+09 
           1  1.8006281E+09
           1  1.7741482E+09
           1  1.7609082E+09
           1  2.0124664E+09
           1  1.8668275E+09
           1  1.9330271E+09
           1  2.2640248E+09
           1  1.8271077E+09
           1  1.3637110E+09
           1  1.2710314E+09
           1  8.8707411E+08
           1  1.2710314E+09
           1  1.1915921E+09
           1  1.1632556E+09
           1  1.1355931E+09
           1  1.1085883E+09
           1  1.0822258E+09
           1  1.0564901E+09
           1  1.0313664E+09
           1  1.0068403E+09
           1  9.8289728E+08
           1  9.5952371E+08
           1  9.3670592E+08
           1  9.1443085E+08
           1  8.9268544E+08
           1  8.7145715E+08
           1  8.5073350E+08
           1  8.3050285E+08
           1  8.1075328E+08
           1  7.9147328E+08
           1  7.7265184E+08
           1  7.5427795E+08
